Importer,Value
New Zealand,41053.62115
New Zealand,1.904
New Zealand,3410.583728
Nicaragua,551.9738393
Nicaragua,73247.02389
Nicaragua,2168.008413
Nicaragua,1.106
Niger,409.6936463
Niger,19861.44799
Niger,698.389868
Nigeria,9973.301
Nigeria,403896.556
Nigeria,414418.449
Nigeria,19.17
Other Africa nes,392.504
Norway,25096.86121
Norway,12674.75636
Norway,34516.893
Norway,5.201
Norway,30387.89505
Micronesia,177.128
Micronesia,82.667
Marshall Isds,564.531
Marshall Isds,392.771
Palau,11.87121202
Palau,175.3724139
Palau,221.1683542
Palau,1.053
Pakistan,12957.50062
Pakistan,1060868.207
Pakistan,89324.08058
Pakistan,
Pakistan,2284.2187
Panama,5395.495564
Panama,228411.2473
Panama,11443.88461
Panama,4.37819031
Papua New Guinea,10438.602
Papua New Guinea,36168.698
Papua New Guinea,3102.34
Papua New Guinea,
Paraguay,610.3522717
Paraguay,54511.54404
Paraguay,4129.514066
Paraguay,1.053
Peru,5173.774915
Peru,384477.2428
Peru,65589.07225
Peru,
Peru,2215.113534
Philippines,33875.44853
Philippines,1666468.366
Philippines,234323.3095
Philippines,22.664
Philippines,3169.275743
Poland,30293.02461
Poland,125318.8419
Poland,103733.4733
Poland,28.742
Poland,23714.49598
Portugal,1582.590645
Portugal,184890.0813
Portugal,11366.44908
Portugal,1137.914247
Guinea-Bissau,1407.765
Guinea-Bissau,107.391
Timor-Leste,4248.254
Timor-Leste,13014.57
Timor-Leste,250.459
Qatar,29289.72258
Qatar,114522.0456
Qatar,15786.69315
Qatar,30.734
Qatar,10067.41091
Romania,8381.237869
Romania,48908.44518
Romania,14850.19958
Romania,19961.37534
Russian Federation,65630.60244
Russian Federation,455989.5263
Russian Federation,3.22
Russian Federation,123447.666
Russian Federation,114137.0459
Rwanda,233.1457547
Rwanda,11033.91657
Rwanda,
Rwanda,914.057382
Rwanda,
Rwanda,0.473
Saint Kitts and Nevis,2.273
Saint Lucia,
Saint Lucia,107.806
Saint Lucia,98.89
Saint Vincent and the Grenadines,147.452865
Saint Vincent and the Grenadines,230.6676603
Saint Vincent and the Grenadines,232.5038715
Sao Tome and Principe,17.897
Sao Tome and Principe,513.9379649
Sao Tome and Principe,293.252
Saudi Arabia,168632.1742
Saudi Arabia,1379473.499
Saudi Arabia,216727.7096
Saudi Arabia,54.133
Saudi Arabia,11856.23192
Senegal,1447.078673
Senegal,100820.2794
Senegal,16047.1536
Senegal,0.586
Senegal,142.935
Serbia,598.3291248
Serbia,8516.426898
Serbia,29220.81772
Serbia,3628.995429
Seychelles,321.3693633
Seychelles,1392.480837
Seychelles,882.3492146
Sierra Leone,159.3085098
Sierra Leone,11098.01014
Sierra Leone,1753.707551
India,139250.6684
India,2620258.87
India,763479.6871
India,444222.557
India,178380.3963
Singapore,187024.9517
Singapore,1207343.38
Singapore,316161.1906
Singapore,4814.526087
Singapore,14621.48533
Slovakia,6002.243028
Slovakia,12770.63748
Slovakia,10792.49423
Slovakia,8162.700814
Vietnam,129153.7147
Vietnam,4471772.639
Vietnam,1819559.232
Vietnam,871.316
Vietnam,73212.47336
Slovenia,9658.552426
Slovenia,21949.10914
Slovenia,27823.89009
Slovenia,41.659
Slovenia,27009.57776
Somalia,3.3
Somalia,21081.564
Somalia,2322.991
South Africa,28868.8876
South Africa,473637.6989
South Africa,586.174442
South Africa,136570.9009
South Africa,19222.36107
Zimbabwe,650.1006964
Zimbabwe,9934.125232
Zimbabwe,861.6094446
Zimbabwe,32.94177445
Spain,31900.94511
Spain,740746.5581
Spain,238.748
Spain,84205.3551
Spain,252.885
Spain,56089.80435
Sudan,5026.345848
Sudan,184038.7583
Sudan,8058.66903
Sudan,397.132
Suriname,347.322
Suriname,9893.201
Suriname,3144.222
Swaziland,4.531
Swaziland,1023.644
Swaziland,22.922
Sweden,15766.62537
